,id,lon,lat,recycling:glass,recycling:plastic,recycling:paper
5,node/4230021523,10.6998395,45.4553204,yes,yes,
6,node/4230021528,10.7019355,45.4566346,yes,yes,
5,node/1815639223,10.7340591,45.4997482,yes,yes,yes
10,node/5759457507,10.7276352,45.4845932,,yes,yes
12,node/6722561105,10.7347789,45.49004,,yes,yes
14,node/6724661296,10.7299259,45.4932022,,yes,
15,node/6724733912,10.7302676,45.492223,,yes,yes
16,node/6904892765,10.7289635,45.4839827,,yes,yes
17,node/6904892766,10.7270661,45.483935,,yes,yes
18,node/6904892769,10.7264988,45.4841325,,yes,yes
19,node/6904892775,10.7260337,45.4838305,,yes,yes
24,node/9114967181,10.7333516,45.4911488,,yes,
25,node/9116122671,10.7322371,45.4946549,,yes,yes
26,node/9116122672,10.7321647,45.4928626,,yes,yes
31,node/9990178721,10.7333066,45.501213,,yes,yes
41,node/2780141939,10.8291673,45.3204316,,yes,yes
0,way/204509620,10.8007068582639,45.3263958489814,yes,yes,yes
