id,amenity,name,recycling:batteries,recycling:cans,recycling:clothes,recycling:glass,recycling:glass_bottles,recycling:green_waste,recycling:medicine,recycling:medicines,recycling:paper,recycling:plastic,recycling:scrap_metal,recycling_type,lon,lat
node/2595098139,waste_basket,,,,,,,,,,,,,,10.8194206,45.3052886
node/2595098140,waste_basket,,,,,,,,,,,,,,10.8196541,45.3052952
node/2595530082,waste_basket,,,,,,,,,,,,,,10.8163165,45.3055478
node/2595530087,waste_basket,,,,,,,,,,,,,,10.8161501,45.3057254
node/2595530115,waste_basket,,,,,,,,,,,,,,10.8163427,45.3059281
node/2595530121,waste_basket,,,,,,,,,,,,,,10.8164274,45.3061513
node/2595530127,waste_basket,,,,,,,,,,,,,,10.8165784,45.3063604
node/2595530159,waste_basket,,,,,,,,,,,,,,10.8171221,45.3061964
node/2595530162,waste_basket,,,,,,,,,,,,,,10.8173509,45.3059386
node/2595530169,waste_basket,,,,,,,,,,,,,,10.8172038,45.3063369
node/2595530175,recycling,,,,yes,,,,,,,,,container,10.8171669,45.306441
node/2595530184,waste_basket,,,,,,,,,,,,,,10.8173182,45.3065265
node/2595530187,waste_basket,,,,,,,,,,,,,,10.8173661,45.306639
node/2595530195,waste_basket,,,,,,,,,,,,,,10.8181495,45.3063952
node/2595530224,waste_basket,,,,,,,,,,,,,,10.8178201,45.3060695
node/2595530226,waste_basket,,,,,,,,,,,,,,10.8177074,45.3058865
node/2595530235,recycling,,,,,yes,,,,,,,,container,10.8177235,45.305732
node/2595530386,recycling,,,,,yes,,,,,,,,container,10.8211963,45.3071449
node/2595956216,recycling,,,,,yes,,,,,,,,container,10.8209689,45.3097525
node/2595956229,waste_basket,,,,,,,,,,,,,,10.8211112,45.3095939
node/2595976492,waste_basket,,,,,,,,,,,,,,10.8243244,45.309364
node/2595976497,waste_basket,,,,,,,,,,,,,,10.8246854,45.3095158
node/2596000725,recycling,,,,,yes,,,,,,,,container,10.8143616,45.3121092
node/2596000726,waste_basket,,,,,,,,,,,,,,10.8142945,45.3120692
node/2596000727,waste_basket,,,,,,,,,,,,,,10.8140974,45.3118147
node/2596008174,waste_basket,,,,,,,,,,,,,,10.8163151,45.31161
node/2596019272,recycling,,,,,yes,,,,,,,,container,10.8163372,45.3106503
node/2596019281,waste_basket,,,,,,,,,,,,,,10.8157072,45.3107835
node/2596042823,recycling,,,,,no,yes,,,,,,,container,10.8155223,45.3094635
node/2596043206,waste_basket,,,,,,,,,,,,,,10.8173955,45.3086902
node/2596118752,recycling,,,,,yes,,,,,,,,container,10.8157315,45.3070804
node/2596118753,recycling,,,,,yes,,,,,,,,container,10.8149316,45.3056636
node/2596118776,waste_basket,,,,,,,,,,,,,,10.81649,45.3026275
node/2596118778,waste_basket,,,,,,,,,,,,,,10.8167359,45.302912
node/2609108498,recycling,,,,,yes,,,,,,,,container,10.8117675,45.3058249
node/2609117198,recycling,,,,,,,,,,,,,container,10.8105666,45.3063634
node/2609117199,recycling,,,no,no,yes,,,,,no,,,container,10.8114272,45.3074624
