id,amenity,barrier,check_date,check_date:recycling,name,operator,recycling:batteries,recycling:cans,recycling:cartons,recycling:clothes,recycling:glass,recycling:glass_bottles,recycling:green_waste,recycling:paper,recycling:paper_packaging,recycling:plastic,recycling:plastic_bottles,recycling:plastic_packaging,recycling:scrap_metal,recycling:small_appliances,recycling_type,waste,website,xcoord,ycoord
way/204509620,recycling,,,,Ecocentro Quaderni,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,centre,,http://www.comune.villafranca.vr.it/nqcontent.cfm?a_id=1511,10.8007068582639,45.3263958489814
way/275238251,recycling,,,,,,,,,,,,,,,,,,,,centre,,,10.9188510459203,45.3723068210634
way/349863811,recycling,,,,,,,,,,,,,,,,,,,,centre,,,10.9176632629851,45.3962222724411
way/349863812,recycling,,,,,AMIA,yes,yes,,yes,yes,,,yes,,,,,yes,,centre,,,10.9180360781729,45.3964022084091
node/338322742,recycling,,,,,,,,,,yes,,,,,,,,,,container,,,10.8415752,45.3466851
node/2592935377,recycling,,,,,,,yes,,,yes,,,no,,,,,,,container,,,10.78793,45.330445
node/2592935378,recycling,,,,,,,yes,,no,yes,,,no,,,,,,,container,,,10.7879212,45.330432
node/2592935379,recycling,,,,Caritas,,,no,,yes,no,,,no,,,,,,,container,,,10.7879533,45.3304745
node/2592935380,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7878372,45.3304741
node/2592935381,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7899395,45.3295906
node/2592935383,recycling,,,,Vetro,,,yes,,no,yes,,,no,,,,,,,container,,,10.7909903,45.3268231
node/2594566869,recycling,,,,,,,yes,,no,yes,,,no,,,,,,,container,,,10.7862899,45.3312436
node/2594566872,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7862308,45.3308326
node/2594566874,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7897532,45.3296512
node/2594566875,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7893009,45.3297819
node/2594566877,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7899636,45.3297527
node/2594566880,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7904014,45.3296428
node/2594566881,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7904934,45.3296291
node/2594566882,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7906562,45.3295993
node/2594566885,recycling,,,,,,,yes,,no,yes,,,no,,,,,,,container,,,10.7908385,45.3295669
node/2594577979,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7907722,45.331294
node/2594577992,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7910491,45.3311801
node/2594577996,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7903375,45.3299929
node/2594577999,recycling,,,,,,,yes,,,yes,,,,,,,,,,container,,,10.7904259,45.3283966
node/2594578005,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.790883,45.3285984
node/2594578006,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7908938,45.3285315
node/2594578012,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7909704,45.3268615
node/2594578021,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.789868,45.3262231
node/2594578022,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7899888,45.3263672
node/2594578023,recycling,,,,,,,yes,,,yes,,,,,,,,,,container,,,10.7885058,45.3264291
node/2594578024,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7884468,45.3264407
node/2594578025,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7881976,45.3264865
node/2594578029,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7877213,45.3265571
node/2594578032,recycling,,,,Vetro,,,no,,no,yes,,,no,,,,,,,container,,,10.7971859,45.3287396
node/2594578040,recycling,,,,,,,no,,,yes,,,,,,,,,,container,,,10.7895846,45.3290343
node/2594587729,recycling,,,,,,,yes,,,yes,,,,,,,,,,container,,,10.7931365,45.3292292
node/2594587735,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.7868867,45.3288438
node/2599664935,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.8370601,45.3460706
node/2599664941,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.8368376,45.3460856
node/2791918747,waste_basket,,,,,,,,,,,,,,,,,,,,,,,10.8526051,45.3513139
node/2791918751,recycling,,,,,,,,,,yes,,,,,,,,,,container,,,10.8509216,45.3507387
node/2824878744,recycling,,,,Caritas,,,,,yes,,,,,,,,,,,container,,,10.7879442,45.330464
node/3356431415,recycling,,,,,,,,,,yes,,,,,,,,,,container,,,10.8365157,45.3568192
node/3474634652,,gate,,,,,,,,,,,,,,,,,,,,,,10.8001561,45.3260935
node/3474634653,,gate,,,,,,,,,,,,,,,,,,,,,,10.8009276,45.3266691
