id,lon,lat,recycling:glass,recycling:plastic,recycling:paper
node/10770542949,10.8874291,45.4708557,,,
node/10770542955,10.8867192,45.4709445,,,
node/10770542958,10.887065,45.4717488,,,
node/10770542959,10.8870696,45.4718104,,,
node/2327243948,10.7089527,45.4576264,,,
node/2327243953,10.7085822,45.4565433,,,
node/2327244002,10.707,45.457643,,,
node/4230020403,10.6980256,45.4531783,,,
node/4230021521,10.7007073,45.4562314,,,
node/4230021523,10.6998395,45.4553204,yes,yes,
node/4230021528,10.7019355,45.4566346,yes,yes,
node/4295233810,10.7019691,45.4561988,,,
node/10786827316,10.7855964,45.4604097,,,
node/10938096830,10.7090404,45.456782,,,
way/1056174427,10.7842688922566,45.466971976757,,,
way/269078040,10.7326892678703,45.5083128029955,,,
way/772234568,10.7230795278711,45.4810338615084,,,
node/746668825,10.7216703,45.4787438,,,
node/958293124,10.7341493,45.5017678,,,
node/1815639220,10.735263,45.4985587,,,
node/1815639223,10.7340591,45.4997482,yes,yes,yes
node/2322204017,10.7133064,45.4573025,,,
node/2450720348,10.7323459,45.4959331,,,
node/2452229422,10.7359081,45.4972014,,,yes
node/4321843758,10.7149055,45.4642359,,,
node/5759457507,10.7276352,45.4845932,,yes,yes
node/5764496003,10.7308346,45.4839734,,,yes
node/6722561105,10.7347789,45.49004,,yes,yes
node/6724597613,10.7335719,45.4912004,,,yes
node/6724661296,10.7299259,45.4932022,,yes,
node/6724733912,10.7302676,45.492223,,yes,yes
node/6904892765,10.7289635,45.4839827,,yes,yes
node/6904892766,10.7270661,45.483935,,yes,yes
node/6904892769,10.7264988,45.4841325,,yes,yes
node/6904892775,10.7260337,45.4838305,,yes,yes
node/7661150420,10.7266466,45.4842801,,,
node/7775431136,10.7336992,45.4974269,,,yes
node/7775431138,10.7381567,45.4963306,,,yes
node/7775431142,10.7360539,45.4972048,,,yes
node/9114967181,10.7333516,45.4911488,,yes,
node/9116122671,10.7322371,45.4946549,,yes,yes
node/9116122672,10.7321647,45.4928626,,yes,yes
node/9714143651,10.7518269,45.4712705,,,
node/9937253960,10.7329331,45.4973383,,,
node/9937253963,10.7330289,45.4977735,,,
node/9957635658,10.747261,45.4723764,,,
node/9990178721,10.7333066,45.501213,,yes,yes
node/10162337695,10.7307683,45.5064372,,,
node/10162339257,10.7313619,45.5092283,,,
node/10162355359,10.7313291,45.5095497,,,
node/10162378355,10.7313977,45.5084327,,,
node/10162388822,10.7321963,45.5064353,,,
node/10162400517,10.7308794,45.5068146,,,
node/10253168080,10.7453211,45.4995837,,,
node/10921562241,10.722256,45.4636393,,,
node/10921562243,10.7221145,45.4634438,,,
node/2595098139,10.8194206,45.3052886,,,
node/2595098140,10.8196541,45.3052952,,,
node/2595530082,10.8163165,45.3055478,,,
node/2595530087,10.8161501,45.3057254,,,
node/2595530115,10.8163427,45.3059281,,,
node/2595530121,10.8164274,45.3061513,,,
node/2595530127,10.8165784,45.3063604,,,
node/2595530159,10.8171221,45.3061964,,,
node/2595530162,10.8173509,45.3059386,,,
node/2595530169,10.8172038,45.3063369,,,
node/2595530175,10.8171669,45.306441,,,
node/2595530184,10.8173182,45.3065265,,,
node/2595530187,10.8173661,45.306639,,,
node/2595530195,10.8181495,45.3063952,,,
node/2595530224,10.8178201,45.3060695,,,
node/2595530226,10.8177074,45.3058865,,,
node/2595530235,10.8177235,45.305732,yes,,
node/2595530386,10.8211963,45.3071449,yes,,
node/2595956216,10.8209689,45.3097525,yes,,
node/2595956229,10.8211112,45.3095939,,,
node/2595976492,10.8243244,45.309364,,,
node/2595976497,10.8246854,45.3095158,,,
node/2596000725,10.8143616,45.3121092,yes,,
node/2596000726,10.8142945,45.3120692,,,
node/2596000727,10.8140974,45.3118147,,,
node/2596008174,10.8163151,45.31161,,,
node/2596019272,10.8163372,45.3106503,yes,,
node/2596019281,10.8157072,45.3107835,,,
node/2596042823,10.8155223,45.3094635,no,,
node/2596043206,10.8173955,45.3086902,,,
node/2596118752,10.8157315,45.3070804,yes,,
node/2596118753,10.8149316,45.3056636,yes,,
node/2596118776,10.81649,45.3026275,,,
node/2596118778,10.8167359,45.302912,,,
node/2609108498,10.8117675,45.3058249,yes,,
node/2609117198,10.8105666,45.3063634,,,
node/2609117199,10.8114272,45.3074624,yes,,no
node/2609117200,10.8090062,45.3076875,yes,,no
node/2727180537,10.8160241,45.3124543,yes,,
node/2777501316,10.8288463,45.3185791,yes,,
node/2777501317,10.8321677,45.3201501,yes,,no
node/2780141939,10.8291673,45.3204316,,yes,yes
node/2787043592,10.8100992,45.2993083,,,
node/2787311435,10.8583177,45.3145502,yes,,
node/2787311437,10.8311004,45.3203639,no,,no
node/2790491239,10.8127024,45.3027042,yes,,no
node/2790491244,10.8096599,45.3089055,yes,,
node/2791271910,10.8184943,45.3098077,yes,,no
node/2791275353,10.8158078,45.3056222,,,
node/2791275358,10.8162626,45.3058163,yes,,
node/2791422729,10.8168974,45.3083077,,,
node/2791935878,10.81651,45.3080237,,,
node/2792027406,10.8195165,45.3049753,yes,,
node/2792175990,10.8162696,45.3054574,yes,,
node/2793420913,10.8122935,45.3070775,,,
node/2805530855,10.7980285,45.3059974,,,
node/2805558343,10.8243269,45.2884936,yes,,
node/2805558344,10.8223211,45.2908834,yes,,
node/2805584886,10.8033946,45.3153882,yes,,
node/2805584890,10.8126827,45.3119482,yes,,
node/2805584891,10.8114834,45.3114075,yes,,
node/2805584892,10.8115076,45.3114046,yes,,
node/2805584893,10.8138183,45.3114282,yes,,
node/2805592940,10.8228699,45.2883188,yes,,
node/2805604446,10.8144972,45.313536,yes,,
node/2805623688,10.8152992,45.3113038,yes,,
node/2807883913,10.8137023,45.301211,yes,,
node/2807883914,10.8120822,45.3026922,yes,,
node/2807883915,10.8162968,45.3021976,yes,,
node/2807883916,10.8162329,45.3022297,,,
node/2807883919,10.8152294,45.302698,yes,,
node/2807898008,10.8195397,45.3077219,yes,,
node/2807898009,10.8195283,45.3077058,yes,,
node/2807898011,10.8210055,45.3097436,yes,,
node/2807898012,10.8248658,45.3091658,yes,,
node/2807898013,10.8261066,45.3109408,yes,,
node/2807898014,10.8232914,45.3121168,,,
node/2807904588,10.832701,45.3106141,yes,,
node/2807904589,10.825001,45.3161878,yes,,
node/2807904590,10.8165503,45.3078334,,,
node/2807914604,10.8179456,45.3096721,,,
node/2807932559,10.814576,45.3068015,yes,,
node/2807932560,10.8146017,45.3067924,yes,,
node/2807932561,10.8146323,45.3067799,,,
node/2807932562,10.8146736,45.3067656,,,
node/2807960035,10.8120414,45.3078177,yes,,
node/2807960036,10.8130303,45.309179,yes,,
node/2807981511,10.826892,45.3209033,yes,,
node/2807988550,10.8288371,45.3214465,yes,,
node/2807988551,10.8287877,45.3214451,,,
node/2807988552,10.8313009,45.3196698,,,
node/2807988555,10.8330797,45.3221847,yes,,
node/2807988556,10.831692,45.3212485,yes,,
node/2807996230,10.8327048,45.3213744,yes,,
node/2808026416,10.8583576,45.3145473,yes,,
node/2808026417,10.858276,45.3145557,,,
node/2808042979,10.8559224,45.3182046,yes,,
node/2808042980,10.8559239,45.3181757,yes,,
node/2808042981,10.8573442,45.3170521,yes,,
node/2808042982,10.8573826,45.317459,,,
node/2808042983,10.8582195,45.3151635,yes,,
node/2808042984,10.859493,45.3156972,yes,,
node/2808042985,10.8581155,45.3173287,yes,,
node/2817154498,10.8133762,45.3057209,yes,,
node/2822403976,10.8582395,45.3145617,,,
node/2822403977,10.8589474,45.3155007,yes,,
node/2822406409,10.8567468,45.3152949,yes,,
node/2822987455,10.8558734,45.3182228,,,
node/2822995615,10.8571241,45.3150781,,,
node/2822995616,10.8570264,45.3149476,,,
node/2823008733,10.856018,45.3182667,,,
node/2828060340,10.8248659,45.2886036,,,
node/3475456870,10.8172432,45.3091384,,,
node/3563510895,10.8163741,45.3064862,yes,,
node/3581444589,10.8180702,45.3084868,,,
node/3586251169,10.8186403,45.3028954,yes,,
node/3586270575,10.819126,45.3033814,,,
node/3615251772,10.8191696,45.3043321,,,
node/3615782118,10.8195055,45.304959,,,
node/3615782119,10.81955,45.3050233,,,
node/3615782121,10.8201483,45.3057602,,,
node/3615782126,10.8209073,45.3067558,,,
node/9741330948,10.8294786,45.3201473,,,
node/9741330951,10.8296699,45.3202747,,,
node/9741330952,10.8296339,45.3204076,,,
way/676060245,10.7917947665099,45.488603757432,,,
node/10184443537,10.7959545,45.5057008,,,
way/677439212,10.8730768509247,45.4867789870548,,,
node/896958517,10.8660288,45.4859844,yes,,
node/2754508036,10.8905148,45.4773668,,,
node/5485318614,10.8797586,45.4837884,,,
node/3750134007,10.8973507,45.416376,,,
node/10178042712,10.8809547,45.418133,,,
way/1128426668,10.8202983673325,45.4222516708258,,,
way/762013001,10.7295816475782,45.4017141341824,,,
node/2835350450,10.732501,45.3550269,,,
node/2835350451,10.7325227,45.3550255,,,
node/2835354753,10.7324936,45.3552224,,,
node/3620790018,10.7390101,45.3504171,,,
node/3620790022,10.7389893,45.3502573,,,
node/5503045233,10.7239504,45.3537059,,,
node/7669091740,10.7915061,45.3536905,,,
node/7826315686,10.7203878,45.3519634,,,
node/7826453087,10.7194308,45.3501878,,,
node/7826456987,10.7236622,45.3533069,,,
way/490685409,10.9325551319843,45.3084823360538,,,
node/7523366851,10.9254617,45.3451104,,,
way/204509620,10.8007068582639,45.3263958489814,yes,yes,yes
way/275238251,10.9188510459203,45.3723068210634,,,
way/349863811,10.9176632629851,45.3962222724411,,,
way/349863812,10.9180360781729,45.3964022084091,yes,,yes
node/338322742,10.8415752,45.3466851,yes,,
node/2592935377,10.78793,45.330445,yes,,no
node/2592935378,10.7879212,45.330432,yes,,no
node/2592935379,10.7879533,45.3304745,no,,no
